,experiment_number,sample_size,p_value_RTs,p_value_Acc,p_value_Drift
134,34,30,0.0038953356423,0.00172245733222,2.68477513618e-16
135,35,30,0.62339911389,0.00151569320033,1.11634625072e-05
136,36,30,0.174114026856,0.000930969625986,3.55075215944e-08
137,37,30,0.756297086247,2.37085651913e-05,2.20880015478e-13
138,38,30,0.190415922941,0.000285264158758,1.32326951421e-13
139,39,30,0.564829453133,0.050053403381,0.029932081842
140,40,30,0.006444148643,0.00584473719087,1.86404106525e-08
141,41,30,0.0963596312507,0.00266611814391,3.89662201349e-07
142,42,30,0.159494411633,0.00177591818411,3.79942726182e-06
143,43,30,0.547425765328,0.00850280142898,3.38557352108e-06
144,44,30,0.195035054418,0.00821746603503,1.73260738139e-05
145,45,30,0.0145929235031,0.102104821582,0.00709990060175
146,46,30,0.013197591933,1.46686537635e-05,3.64100140032e-12
147,47,30,0.0726655054349,1.62275359506e-06,4.7386417775e-13
148,48,30,0.175811921551,0.000333014602879,2.63962937966e-09
149,49,30,0.823847507964,0.107569935498,0.0023854861197
150,0,100,0.000728544971203,3.4236448064e-08,2.58510521741e-26
151,1,100,0.0840456567392,1.7273569343e-06,1.11947400883e-14
152,2,100,0.00198670890241,1.77933008038e-07,4.82568529639e-21
153,3,100,1.58317037386e-06,1.2482429004e-13,8.01315611488e-46
154,4,100,0.00150923144755,2.68568129926e-10,2.45298469658e-29
155,5,100,0.00175274862557,1.86502035597e-08,2.64291242949e-22
156,6,100,9.70997901031e-05,2.94879019554e-08,1.51523498881e-19
157,7,100,0.00327110640845,9.84261257778e-09,5.37314067404e-34
158,8,100,0.00285733250169,1.83288019578e-05,2.99159777644e-13
159,9,100,0.00010620463949,1.54565131518e-09,1.54945146354e-27
160,10,100,0.0150021542531,9.36189242715e-08,7.34437427119e-19
161,11,100,0.00208783176844,0.0226055819389,9.37677444725e-09
162,12,100,0.0621034451402,1.99988728988e-06,1.4654959093e-14
163,13,100,0.000859776381602,1.91954571536e-10,2.02664755309e-18
164,14,100,2.54263470851e-05,1.83934944817e-10,1.0479228129e-32
165,15,100,0.0202653526136,6.15653200766e-09,7.82831604265e-24
166,16,100,5.0006168029e-05,6.00457286386e-09,1.3409968275e-29
167,17,100,0.00144150988728,1.12287803875e-08,2.31480465336e-16
168,18,100,8.81846872763e-05,2.90821929509e-13,1.81692669843e-32
169,19,100,0.00467397503262,3.27865145556e-10,2.43538001398e-30
170,20,100,0.00638627181903,1.79061611929e-12,8.8247352648e-43
171,21,100,0.0546478014683,3.10756539396e-07,3.70723723675e-18
172,22,100,0.0107839574674,9.62225745412e-06,7.96133720963e-14
173,23,100,0.00455020674684,2.1838152921e-10,8.70556412949e-32
174,24,100,0.109631040802,1.16853853204e-09,1.02691232663e-19
175,25,100,0.132180541385,7.74097356196e-11,4.53078595419e-27
176,26,100,1.45233805823e-07,3.6913029485e-10,1.77649734234e-30
177,27,100,0.0622032270566,4.05438207829e-09,8.81366144013e-18
178,28,100,0.861914365849,1.02698067138e-11,8.26134442986e-26
179,29,100,1.78346858198e-05,2.46287587141e-09,9.59189035819e-27
180,30,100,0.0672127341079,1.15091683626e-07,2.4369314516e-16
181,31,100,0.000123963724956,2.17318581522e-05,5.35589310922e-18
182,32,100,0.0870551454261,9.31077091905e-09,9.08016289669e-24
183,33,100,0.0111017638592,0.000580831644595,2.96930050787e-10
184,34,100,0.00266745323678,1.01174498115e-11,1.58068190512e-25
185,35,100,0.00051357185795,7.16600494841e-06,9.57455730939e-20
186,36,100,0.0207420614033,9.38045059546e-13,6.18130480546e-37
187,37,100,0.00733178349745,9.81578983535e-09,7.88549572695e-22
188,38,100,0.000176712111055,4.94605483165e-12,3.44302307165e-30
189,39,100,0.0125604712653,1.10424696786e-09,6.39492520426e-24
190,40,100,0.0110520127832,5.63114804382e-11,1.44880963142e-28
191,41,100,0.0102915791758,1.55079622179e-07,3.12120837326e-19
192,42,100,0.00788382896897,2.50878416435e-08,3.59448190038e-24
193,43,100,0.00591855918484,1.58899382355e-11,1.20895297449e-35
194,44,100,0.0230384674787,2.50031257831e-07,1.15218264851e-18
195,45,100,0.0012109247493,2.40665990969e-08,6.00695253335e-20
196,46,100,0.0336782600283,1.03519055888e-08,1.63506937502e-19
197,47,100,0.0212215124364,3.34115580178e-06,5.29917630185e-17
198,48,100,0.00484485467658,1.27521450442e-11,1.56351511417e-37
199,49,100,0.000820471371523,1.43186006469e-09,2.69207837526e-27
