,sample_size,Drift_effect_size,RT_effect_size,Acc_effect_size,Drsig,RTsig,Acsig
147,110.0,0.0,0.10333821086184289,0.10565763552387795,0.0175,0.01725,0.01825
148,110.0,0.4999999999999982,0.1277417399278024,0.13499254268093783,0.1355,0.0915,0.103
149,110.0,1.0000000000000009,0.17695022270038868,0.2047935036865861,0.402,0.219,0.2935
150,110.0,1.4999999999999991,0.2544519048468509,0.2941133314590783,0.7165,0.462,0.578
151,110.0,2.0000000000000018,0.3341740567945188,0.38816209755030784,0.92525,0.7015,0.8245
152,110.0,2.5,0.41989323348555746,0.47641050335079604,0.986,0.895,0.937
153,110.0,2.9999999999999982,0.5098420102730343,0.566058772427585,0.99925,0.97275,0.99
154,110.0,3.5000000000000013,0.5936305141555919,0.6595269924094435,1.0,0.9955,0.999
155,110.0,3.9999999999999987,0.683836022374153,0.740422496603195,1.0,0.99925,1.0
156,110.0,5.0,0.8598747961012081,0.9104550129480422,1.0,1.0,1.0
157,110.0,6.000000000000001,1.037584999062061,1.06339425799175,1.0,1.0,1.0
158,110.0,7.999999999999997,1.393042655270669,1.3654269972526647,1.0,1.0,1.0
159,110.0,10.0,1.7469514022659693,1.628650384389255,1.0,1.0,1.0
160,110.0,12.000000000000002,2.0935612622720035,1.8632532800862855,1.0,1.0,1.0
161,120.0,0.0,0.09788824102412266,0.10309826549575479,0.02425,0.0175,0.0265
162,120.0,0.4999999999999982,0.11942499317445009,0.1325775126429287,0.1485,0.0795,0.119
163,120.0,1.0000000000000009,0.1764462605472299,0.20101245241885324,0.4155,0.23625,0.31675
164,120.0,1.4999999999999991,0.25313475150845316,0.29609335807933335,0.768,0.4855,0.627
165,120.0,2.0000000000000018,0.3365974197307979,0.3807427733448749,0.93825,0.75225,0.832
166,120.0,2.5,0.41964128260784683,0.48307014197152,0.9895,0.9065,0.9565
167,120.0,2.9999999999999982,0.5072298743685857,0.5655390869003712,0.999,0.979,0.99175
168,120.0,3.5000000000000013,0.5954872320969936,0.6566222930318629,1.0,0.999,0.9995
169,120.0,3.9999999999999987,0.6823283978654309,0.7384184640084483,1.0,0.9995,1.0
170,120.0,5.0,0.8612233482272686,0.9104657042735264,1.0,1.0,1.0
171,120.0,6.000000000000001,1.0366969452040669,1.0747535341619092,1.0,1.0,1.0
172,120.0,7.999999999999997,1.394617176744572,1.3594828648472141,1.0,1.0,1.0
173,120.0,10.0,1.7472407704745456,1.634082264913999,1.0,1.0,1.0
174,120.0,12.000000000000002,2.099119679933628,1.8617068679539146,1.0,1.0,1.0
175,130.0,0.0,0.09325377096316474,0.09755990905586687,0.023,0.01975,0.024
176,130.0,0.4999999999999982,0.11446760105409934,0.1264397068518889,0.1455,0.085,0.1105
177,130.0,1.0000000000000009,0.17315024171420365,0.20103284538514818,0.447,0.24,0.34125
178,130.0,1.4999999999999991,0.2549900887704358,0.2918528381038738,0.8065,0.5115,0.6525
179,130.0,2.0000000000000018,0.33828790555903077,0.3849689591271591,0.95875,0.7835,0.87425
180,130.0,2.5,0.4209966246869933,0.47610048567523666,0.9985,0.937,0.969
181,130.0,2.9999999999999982,0.5085319690825343,0.5690876665566218,0.99975,0.98625,0.99625
182,130.0,3.5000000000000013,0.5931030726516644,0.653939452656129,1.0,0.999,0.9995
183,130.0,3.9999999999999987,0.6804932130987731,0.7400372184729105,1.0,1.0,1.0
184,130.0,5.0,0.8647913958024174,0.9078833470986571,1.0,1.0,1.0
185,130.0,6.000000000000001,1.0370696946407698,1.0657968744148296,1.0,1.0,1.0
186,130.0,7.999999999999997,1.3965738402289414,1.3603040227990013,1.0,1.0,1.0
187,130.0,10.0,1.7494418909461424,1.6245013180065195,1.0,1.0,1.0
188,130.0,12.000000000000002,2.09242439125953,1.8617109789131467,1.0,1.0,1.0
189,140.0,0.0,0.08970840819836418,0.09293701799137805,0.01925,0.0175,0.02125
190,140.0,0.4999999999999982,0.1115343102043321,0.12168704148748667,0.1365,0.083,0.1145
191,140.0,1.0000000000000009,0.17493280572684172,0.1976043385513334,0.47675,0.2785,0.35525
192,140.0,1.4999999999999991,0.2503573323725959,0.293791961983829,0.8315,0.5575,0.7005
193,140.0,2.0000000000000018,0.3354080891988038,0.3834667848540638,0.96825,0.80775,0.8955
194,140.0,2.5,0.4204639475762129,0.4788708383846862,0.9975,0.943,0.98
195,140.0,2.9999999999999982,0.5058379377697384,0.5681642922205774,0.99975,0.991,0.99775
196,140.0,3.5000000000000013,0.5954172644782403,0.6550992738244815,1.0,0.9995,0.9995
197,140.0,3.9999999999999987,0.6821861816106053,0.7382740527625478,1.0,1.0,1.0
198,140.0,5.0,0.8582948253116832,0.9082348106804964,1.0,1.0,1.0
199,140.0,6.000000000000001,1.0363270288383462,1.0628248688674364,1.0,1.0,1.0
200,140.0,7.999999999999997,1.3955906152595798,1.3639495446368795,1.0,1.0,1.0
201,140.0,10.0,1.7533966659236329,1.633217107480724,1.0,1.0,1.0
202,140.0,12.000000000000002,2.0913360375203456,1.8540528368288198,1.0,1.0,1.0
203,150.0,0.0,0.08833531772246392,0.09113769729264533,0.02225,0.019,0.023
204,150.0,0.4999999999999982,0.1124966443279604,0.12463616950585975,0.176,0.0835,0.14
205,150.0,1.0000000000000009,0.17019279632197593,0.20131176754219973,0.5091666666666667,0.274,0.404
206,150.0,1.4999999999999991,0.24983718081365003,0.2918883851682454,0.839,0.5775,0.7195
207,150.0,2.0000000000000018,0.33530329167816514,0.38582099813955173,0.979125,0.83675,0.915875
208,150.0,2.5,0.42406700379651197,0.47217219674974087,1.0,0.962,0.987
209,150.0,2.9999999999999982,0.508287815297405,0.5660142582975621,0.9996666666666667,0.9961666666666666,0.9983333333333333
210,150.0,3.5000000000000013,0.5929710715434151,0.6548773998660103,1.0,0.9995,1.0
211,150.0,3.9999999999999987,0.6849853380993168,0.7412039357591447,1.0,1.0,1.0
212,150.0,5.0,0.8551606839684267,0.9098044241771602,1.0,1.0,1.0
213,150.0,6.000000000000001,1.0343699760439997,1.0662682596921846,1.0,1.0,1.0
214,150.0,7.999999999999997,1.3969926834561408,1.3625215369558783,1.0,1.0,1.0
215,150.0,10.0,1.7505686227025232,1.6178749197746727,1.0,1.0,1.0
216,150.0,12.000000000000002,2.0958545442394874,1.8620310360458083,1.0,1.0,1.0
217,200.0,0.0,0.07391633785846165,0.07851124459298538,0.0225,0.02025,0.02275
218,200.0,0.4999999999999982,0.1014455352782417,0.1146772963336619,0.198,0.1015,0.1635
219,200.0,1.0000000000000009,0.16709204167231237,0.19762988217095961,0.63075,0.3695,0.49575
220,200.0,1.4999999999999991,0.2522255244678143,0.29039735560225394,0.923,0.71,0.8205
221,200.0,2.0000000000000018,0.33288764432220685,0.38482028544805197,0.99525,0.9285,0.97025
222,200.0,2.5,0.4228071615785603,0.4801394624829108,1.0,0.994,0.999
223,200.0,2.9999999999999982,0.5058709301806449,0.568126538786939,1.0,0.999,1.0
224,200.0,3.5000000000000013,0.5950101858506747,0.6513168866790326,1.0,1.0,1.0
225,200.0,3.9999999999999987,0.6837820967401357,0.7384311701485602,1.0,1.0,1.0
226,200.0,5.0,0.8577981756143971,0.9096604630414269,1.0,1.0,1.0
227,200.0,6.000000000000001,1.0350388004755726,1.0631473863847434,1.0,1.0,1.0
228,200.0,7.999999999999997,1.3914067103980685,1.357409607636622,1.0,1.0,1.0
229,200.0,10.0,1.7451993533708554,1.6215285990312378,1.0,1.0,1.0
230,200.0,12.000000000000002,2.093613230436423,1.864435207875421,1.0,1.0,1.0
231,250.0,0.0,0.06647893561865782,0.06923375420037371,0.02275,0.01925,0.02
